01:00:00:00,01;00;00:18,01:00:00;00
01:01:13:22,01;01;14:15,01;01;14;00
01:01:13:23,01;01;14:16,01:01;14;01
01:01:19:05,01;01;19:23,01;01;19;09
01:01:19:06,01;01;19:25,01;01;19;10
01:07:48:15,01;07;49:02,01;07;49;03
01:07:50:16,01;07;51:03,01;07;51;04
01:12:52:14,01;12;53:06,01;12;53;10
01:12:54:15,01;12;55:07,01;12;55;11
01:17:20:04,01;17;20:22,01;17;21;08
01:17:22:05,01;17;22:23,01;17;23;09
01:21:27:08,01;21;28:03,01;21;28;19
01:21:29:09,01;21;30:04,01;21;30;20
01:21:59:08,01;22;00:03,01;22;00;21
